seq,ts_emit,w,bit
715,1789388429344068379,0.475,1
716,1789388429344764310,0.475,1
717,1789388429345419763,0.0,0
718,1789388429346064150,0.475,1
719,1789388429346712555,0.475,1
720,1789388429347288463,0.475,1
721,1789388429347930605,0.475,1
722,1789388429348586889,0.475,1
723,1789388429349216427,0.475,1
724,1789388429349833939,0.0,0
725,1789388429350419237,0.475,1
726,1789388429351062637,0.0,0
727,1789388429351709971,0.475,1
728,1789388429352298928,0.475,1
729,1789388429352959663,0.0,0
730,1789388429353606232,0.475,1
731,1789388429354265742,0.475,1
732,1789388429354924838,0.475,1
733,1789388429355511769,0.475,1
734,1789388429356128134,0.475,1
735,1789388429356727378,0.0,0
736,1789388429357395428,0.475,1
737,1789388429357974907,0.475,1
738,1789388429358625153,0.475,1
739,1789388429359202012,0.475,1
740,1789388429359779389,0.475,1
741,1789388429360371476,0.475,1
742,1789388429361043347,0.475,1
743,1789388429361697267,0.475,1
744,1789388429362271775,0.475,1
745,1789388429362886111,0.0,0
746,1789388429363488598,0.475,1
747,1789388429364090557,0.475,1
748,1789388429364718156,0.475,1
749,1789388429365313821,0.475,1
750,1789388429365912321,0.475,1
751,1789388429366540983,0.475,1
752,1789388429367209795,0.475,1
753,1789388429367845423,0.475,1
754,1789388429368441036,0.475,1
755,1789388429369043603,0.475,1
756,1789388429369657660,0.475,1
757,1789388429370261634,0.475,1
758,1789388429370863472,0.475,1
759,1789388429371460395,0.475,1
760,1789388429372058088,0.475,1
761,1789388429372651220,0.475,1
762,1789388429373255333,0.0,0
763,1789388429373843334,0.475,1
764,1789388429374432235,0.0,0
765,1789388429375032884,0.475,1
766,1789388429375635519,0.475,1
767,1789388429376262184,0.0,0
768,1789388429376868238,0.475,1
769,1789388429377477665,0.0,0
770,1789388429378076933,0.0,0
771,1789388429378665145,0.0,0
772,1789388429379266141,0.475,1
773,1789388429379862376,0.475,1
774,1789388429380501975,0.475,1
775,1789388429381094399,0.475,1
776,1789388429381713002,0.475,1
777,1789388429382327648,0.475,1
778,1789388429382930254,0.0,0
779,1789388429383533925,0.475,1
780,1789388429384138971,0.475,1
781,1789388429384740762,0.475,1
782,1789388429385361076,0.475,1
783,1789388429385990186,0.475,1
784,1789388429386673891,0.475,1
785,1789388429387269384,0.475,1
786,1789388429387873164,0.475,1
787,1789388429388509073,0.475,1
788,1789388429389131117,0.475,1
789,1789388429389752195,0.475,1
790,1789388429390341691,0.475,1
791,1789388429390942589,0.0,0
792,1789388429391558424,0.475,1
793,1789388429392167147,0.475,1
794,1789388429392773332,0.0,0
795,1789388429393401939,0.475,1
796,1789388429394049787,0.475,1
797,1789388429394677440,0.475,1
798,1789388429395374468,0.475,1
799,1789388429396021445,0.0,0
800,1789388429396639107,0.0,0
801,1789388429397220207,0.475,1
802,1789388429397808088,0.475,1
803,1789388429398429573,0.0,0
804,1789388429399044235,0.475,1
805,1789388429399672411,0.475,1
806,1789388429400270608,0.475,1
807,1789388429400878782,0.475,1
808,1789388429401482631,0.475,1
809,1789388429402114861,0.475,1
810,1789388429402703102,0.475,1
811,1789388429403357058,0.475,1
812,1789388429404000375,0.475,1
813,1789388429404589343,0.475,1
814,1789388429405204569,0.475,1
815,1789388429405831376,0.475,1
816,1789388429406498624,0.475,1
817,1789388429407157575,0.475,1
818,1789388429407740230,0.475,1
819,1789388429408330452,0.475,1
820,1789388429408920209,0.475,1
821,1789388429409543834,0.475,1
822,1789388429410192760,0.475,1
823,1789388429410768535,0.475,1
824,1789388429411373867,0.0,0
825,1789388429411960798,0.475,1
826,1789388429412587793,0.475,1
827,1789388429413245517,0.475,1
