count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
552,403430,0,403430,403430,0,0,1
553,195530,0,195530,195530,0,0,1
554,2363197,0,2363197,2363197,0,0,0
555,1856731,0,1856731,1856731,0,0,0
556,1352854,0,1352854,1352854,0,0,1
557,848804,0,848804,848804,0,0,0
558,344202,0,344202,344202,0,0,0
559,91938,0,91938,91938,0,0,1
560,2267958,0,2267958,2267958,0,0,0
561,1762264,0,1762264,1762264,0,0,1
562,1257012,0,1257012,1257012,0,0,0
563,750032,0,750032,750032,0,0,0
564,245332,0,245332,245332,0,0,1
565,769274,0,769274,769274,0,0,1
566,263665,0,263665,263665,0,0,1
567,757197,0,757197,757197,0,0,0
568,249297,0,249297,249297,0,0,1
569,358928,0,358928,358928,0,0,0
570,1825730,0,1825730,1825730,0,0,0
571,1320285,0,1320285,1320285,0,0,0
572,813514,0,813514,813514,0,0,0
573,309089,0,309089,309089,0,0,0
574,1799548,0,1799548,1799548,0,0,0
575,1291880,0,1291880,1291880,0,0,0
576,786119,0,786119,786119,0,0,0
577,281508,0,281508,281508,0,0,1
578,1632306,0,1632306,1632306,0,0,0
579,1124331,0,1124331,1124331,0,0,1
580,617373,0,617373,617373,0,0,0
581,112964,0,112964,112964,0,0,0
582,178311,0,178311,178311,0,0,1
583,213132,0,213132,213132,0,0,0
584,136200,0,136200,136200,0,0,0
585,150224,0,150224,150224,0,0,0
586,155879,0,155879,155879,0,0,1
587,92525,0,92525,92525,0,0,1
588,126573,0,126573,126573,0,0,0
589,633102,0,633102,633102,0,0,1
590,127976,0,127976,127976,0,0,1
591,1269408,0,1269408,1269408,0,0,0
592,762828,0,762828,762828,0,0,0
593,259136,0,259136,259136,0,0,0
594,316997,0,316997,316997,0,0,1
595,1643472,0,1643472,1643472,0,0,1
596,1137102,0,1137102,1137102,0,0,1
597,633300,0,633300,633300,0,0,0
598,124260,0,124260,124260,0,0,1
599,469563,0,469563,469563,0,0,0
600,85392,0,85392,85392,0,0,1
601,1071358,0,1071358,1071358,0,0,0
602,566344,0,566344,566344,0,0,1
603,60301,0,60301,60301,0,0,1
604,1049785,0,1049785,1049785,0,0,0
605,545317,0,545317,545317,0,0,0
606,52443,0,52443,52443,0,0,1
607,430094,0,430094,430094,0,0,1
608,56940,0,56940,56940,0,0,0
609,2311579,0,2311579,2311579,0,0,0
610,1804993,0,1804993,1804993,0,0,0
611,1301260,0,1301260,1301260,0,0,0
612,798182,0,798182,798182,0,0,0
613,294432,0,294432,294432,0,0,1
614,217596,0,217596,217596,0,0,1
615,974988,0,974988,974988,0,0,1
616,467770,0,467770,467770,0,0,1
617,81003,0,81003,81003,0,0,0
618,1274040,0,1274040,1274040,0,0,0
619,769805,0,769805,769805,0,0,1
620,266114,0,266114,266114,0,0,1
621,529487,0,529487,529487,0,0,1
622,96098,0,96098,96098,0,0,0
623,1453943,0,1453943,1453943,0,0,1
624,948825,0,948825,948825,0,0,1
625,441613,0,441613,441613,0,0,0
626,71639,0,71639,71639,0,0,0
627,424811,0,424811,424811,0,0,0
628,99241,0,99241,99241,0,0,1
629,350562,0,350562,350562,0,0,0
630,105082,0,105082,105082,0,0,1
631,123775,0,123775,123775,0,0,1
632,1286422,0,1286422,1286422,0,0,0
633,780268,0,780268,780268,0,0,0
634,276362,0,276362,276362,0,0,0
635,1365553,0,1365553,1365553,0,0,1
636,861081,0,861081,861081,0,0,0
637,354953,0,354953,354953,0,0,1
638,187282,0,187282,187282,0,0,1
639,2624799,0,2624799,2624799,0,0,0
640,2128680,0,2128680,2128680,0,0,1
641,1679374,0,1679374,1679374,0,0,0
642,1185719,0,1185719,1185719,0,0,1
643,722090,0,722090,722090,0,0,0
644,278859,0,278859,278859,0,0,1
646,112312,0,112312,112312,0,0,1
645,617288,0,617288,617288,0,0,0
647,169298,0,169298,169298,0,0,1
