count_idx,delay_ns,loop_gap_ns,recv_block_ns
1090,49374,16439,7984
1091,49732,15449,7651
1092,51161,15470,6122
1093,51149,18951,6579
1094,44043,14630,6890
1095,43183,14639,7188
1096,39356,15096,6904
1097,39333,14947,6807
1098,37926,14952,6693
1099,37589,14871,6679
1100,42503,18991,6943
1101,42849,14907,7125
1102,40339,14975,6409
1103,66632,13659,34112
1104,70028,42380,7039
1105,74789,15192,6827
1106,42852,14799,6966
1107,46498,19624,6920
1108,47012,14567,7077
1109,59496,14520,20677
1110,50715,29062,6516
1111,43450,14407,7047
1112,44688,15091,14528
1113,108276,22412,74646
1114,112725,98914,13597
1115,190686,19824,156580
1116,107737,188058,11608
1117,91510,20673,7031
1118,79045,14068,5229
1119,69746,11700,5906
1120,61017,13113,5878
1121,65778,12497,5572
1122,86570,28430,33324
1123,86866,41522,20541
1124,74343,54734,9184
1125,76581,19707,8028
1126,67346,15131,7417
1127,63301,12206,3682
1128,64910,7928,9947
1129,66877,21839,4510
1130,63021,9594,4197
1131,57522,8398,3915
1132,51354,8164,4098
1133,40489,8240,3691
1134,33779,7783,4354
1135,30031,8422,7793
1136,33440,15603,10293
1137,30616,14644,23316
1138,60192,27677,42782
1139,191847,56574,189664
1140,104299,221556,10580
1141,79272,16996,4266
1142,64977,8765,3733
1143,61706,7933,4283
1144,58932,18402,13848
1145,41072,18222,7056
1146,29395,11526,8358
1147,240799,12674,223630
1148,122360,260991,14647
1149,64039,26741,6512
1150,56167,13884,13420
1151,63077,31412,13024
1152,42915,21067,11282
1153,40113,19361,15322
1154,140310,23090,121640
1155,57695,139914,8728
1156,46508,18176,12719
1157,42387,21254,11098
1158,39044,26664,11116
1159,34428,19353,10782
1160,57609,18611,38620
1161,44148,50380,10900
1162,244221,18495,209821
1163,197153,243949,12743
1164,147292,20855,5950
1165,145883,11036,4564
1166,135717,23501,4590
1167,124120,8777,3919
1168,112583,7994,4902
1169,101795,9222,3878
1170,88046,8088,3653
1171,73439,7772,4284
1172,56427,8401,3771
1173,81658,11662,42702
1174,66131,47252,4299
1175,57658,8370,10661
1176,66509,14857,42057
1177,36413,49011,8990
1178,112171,13662,96964
1179,62566,110008,11681
1180,37363,24273,24869
1181,33833,32895,11854
1182,29796,16413,8487
1183,108220,12808,90606
1184,74347,107664,16290
1185,46351,24789,6891
1186,33187,12296,8387
1187,38436,12672,21347
1188,35289,33656,9176
1189,29874,13626,7397
1190,86067,11566,68942
1191,163508,81838,118273
1192,107745,144380,9094
1193,96632,14643,4252
1194,92341,8569,3652
1195,97191,14710,6376
1196,91858,10548,4064
1197,84141,8278,3692
1198,79440,7768,4132
1199,73879,8233,3663
1200,66850,7810,4028
1201,48007,8095,4514
1202,44723,12664,11964
1203,35493,16355,8602
1204,143850,13006,124532
1205,112359,156243,13791
1206,51488,20408,4483
1207,47330,9241,12233
1208,31729,16587,8434
1209,27832,12719,8199
1210,144496,24210,135244
1211,66914,152158,20118
1212,56590,33292,16127
1213,46534,25402,7086
1214,43488,13889,12588
1215,37370,19539,10999
1216,58192,17903,41041
1217,56248,60075,13267
1218,42804,21182,11181
1219,36279,17896,12791
1220,28940,19471,10745
1221,45427,17162,30783
1222,44467,41087,14302
1223,32203,19492,9814
1224,31381,25523,8285
1225,136263,12727,121564
1226,101981,150140,12809
1227,60777,21879,6419
1228,59835,13908,6317
1229,59237,12963,5853
1230,58534,13385,5767
1231,73209,25260,8701
1232,73216,15845,6704
1233,68308,11906,4382
1234,62162,8813,4018
1235,55949,8181,4813
1236,49818,8843,3711
1237,41520,7995,9028
1238,56802,13385,22099
1239,151174,30604,80694
1240,173612,169423,56537
1241,144714,76820,7418
1242,128850,15502,5377
1243,116853,13809,5317
1244,104302,12489,5340
1245,111217,12963,21042
1246,65785,39293,6434
1247,76321,14213,32482
1248,68363,45405,7687
1249,51977,16103,5747
1250,46479,13381,6112
1251,47133,14517,13329
1252,41045,21984,11414
1253,38035,25650,10756
1254,48791,19059,26774
1255,191772,34859,165132
1256,100860,198883,12077
1257,82800,20359,4808
1258,69071,9782,4453
1259,58156,8758,3747
1260,79702,7866,24297
1261,246660,42030,178719
1262,96664,213506,19216
1263,62236,28545,41530
1264,47689,51818,13850
1265,134286,20860,118358
1266,108789,150858,18078
1267,152471,28801,112696
1268,136466,136866,83386
1269,161795,97153,124496
1270,138427,143559,80727
1271,136858,92713,101310
1272,136998,113939,105839
1273,138154,118515,107275
1274,136087,120537,101013
1275,136844,121423,96273
1276,138266,109120,105246
1277,134472,118075,99143
1278,136184,112005,102042
1279,125732,114788,90436
1280,310296,103249,269512
1281,244859,303814,12537
