count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
536,6852,-679,32284
537,5649,-679,32284
538,4351,-679,32284
539,6524,-679,32284
540,18960,-679,32284
541,19061,-679,32284
542,17438,-679,32284
543,15459,-679,32284
544,13697,-679,32284
545,11610,-679,32284
546,9226,-679,32284
547,6506,-679,32284
548,6481,-679,32284
549,5306,-679,32284
550,6692,-679,32284
551,6279,-679,32284
552,5087,-679,32284
553,9241,-679,32284
554,5600,-679,32284
555,4357,-679,32284
556,8914,-679,32284
557,5605,-679,32284
558,9305,-679,32284
559,5521,-679,32284
560,4261,-679,32284
561,31215,-679,32284
562,13141,-679,32284
563,8982,-679,32284
564,6834,-679,32284
565,5234,-679,32284
566,4198,-679,32284
567,7351,-679,32284
568,4479,-679,32284
569,9676,-679,32284
570,11601,-679,32284
571,11334,-679,32284
572,10082,-679,32284
573,8438,-679,32284
574,6484,-679,32284
575,6572,-679,32284
576,8747,-679,32284
577,6483,-679,32284
578,5366,-679,32284
579,3517,-679,32284
580,5738,-679,32284
581,4981,-679,32284
582,5982,-679,32284
583,5434,-679,32284
584,3577,-679,32284
585,5772,-679,32284
586,4983,-679,32284
587,7312,-679,32284
588,5505,-679,32284
589,3715,-679,32284
590,33038,-679,32284
591,13975,-679,32284
592,10771,-679,32284
593,8575,-679,32284
594,6291,-679,32284
595,5204,-679,32284
596,4057,-679,32284
597,38007,-679,32284
598,29348,-679,32284
599,25673,-679,32284
600,23480,-679,32284
601,23856,-679,32284
602,21839,-679,32284
603,19240,-679,32284
604,17571,-679,32284
605,15423,-679,32284
606,13510,-679,32284
607,11486,-679,32284
608,9017,-679,32284
609,6755,-679,32284
610,14029,-679,32284
611,11435,-679,32284
612,10589,-679,32284
613,5143,-679,32284
614,3990,-679,32284
615,6864,-679,32284
616,11961,-679,32284
617,26126,-679,32284
618,15851,-679,32284
619,13677,-679,32284
620,10487,-679,32284
621,8623,-679,32284
622,6913,-679,32284
623,8311,-679,32284
624,6541,-679,32284
625,5617,-679,32284
626,4240,-679,32284
627,10673,-679,32284
628,7050,-679,32284
629,5170,-679,32284
630,8603,-679,32284
631,5562,-679,32284
632,6752,-679,32284
633,5631,-679,32284
634,3897,-679,32284
635,19398,-679,32284
636,8509,-679,32284
637,5766,-679,32284
638,8951,-679,32284
639,5588,-679,32284
640,3334,-679,32284
641,33205,-679,32284
642,15492,-679,32284
643,12462,-679,32284
644,10700,-679,32284
645,7840,-679,32284
646,6432,-679,32284
647,5189,-679,32284
648,5763,-679,32284
649,6391,-679,32284
650,5728,-679,32284
651,8236,-679,32284
652,5136,-679,32284
653,19975,-679,32284
654,18596,-679,32284
655,18358,-679,32284
656,18369,-679,32284
657,6864,-679,32284
658,6759,-679,32284
659,5041,-679,32284
660,22582,-679,32284
661,20461,-679,32284
662,14772,-679,32284
663,12797,-679,32284
664,10899,-679,32284
665,8224,-679,32284
666,6058,-679,32284
667,6242,-679,32284
668,4872,-679,32284
669,6445,-679,32284
670,5372,-679,32284
671,5374,-679,32284
672,3479,-679,32284
673,25908,-679,32284
674,8561,-679,32284
675,5296,-679,32284
676,4369,-679,32284
677,3781,-679,32284
678,6733,-679,32284
679,4675,-679,32284
680,9432,-679,32284
681,6014,-679,32284
682,8781,-679,32284
683,6670,-679,32284
684,5383,-679,32284
685,3992,-679,32284
686,6132,-679,32284
687,5067,-679,32284
688,3336,-679,32284
689,24177,-679,32284
690,8097,-679,32284
691,5570,-679,32284
692,6636,-679,32284
693,5002,-679,32284
694,3973,-679,32284
695,6375,-679,32284
696,4995,-679,32284
697,2891,-679,32284
698,6278,-679,32284
699,5439,-679,32284
700,4650,-679,32284
701,8856,-679,32284
702,5387,-679,32284
703,4775,-679,32284
704,9063,-679,32284
705,6081,-679,32284
706,2861,-679,32284
707,6018,-679,32284
708,5256,-679,32284
709,3458,-679,32284
710,25301,-679,32284
711,8876,-679,32284
712,5772,-679,32284
713,4785,-679,32284
714,6406,-679,32284
715,4228,-679,32284
716,6014,-679,32284
717,5085,-679,32284
718,3676,-679,32284
719,7472,-679,32284
720,7411,-679,32284
721,5174,-679,32284
722,4433,-679,32284
723,6322,-679,32284
724,6855,-679,32284
725,4630,-679,32284
726,3567,-679,32284
727,23751,-679,32284
728,6894,-679,32284
729,4590,-679,32284
730,16065,-679,32284
731,13155,-679,32284
732,12922,-679,32284
733,11251,-679,32284
734,9138,-679,32284
735,9830,-679,32284
