count_index,s2r_ns,r2a_ns,total_ns,werner
390,135254,1106,136360,0.898795
391,300452,1311,301763,0.792387
392,286734,1254,287988,0.800569
393,267732,1269,269001,0.812090
394,241107,1267,242374,0.828606
395,262983,1303,264286,0.815004
396,277029,1272,278301,0.806426
397,291379,1434,292813,0.797786
398,251953,1099,253052,0.821825
399,192576,1248,193824,0.859865
400,317594,1283,318877,0.782319
401,276120,1284,277404,0.806978
402,211106,1854,212960,0.847751
403,247022,1318,248340,0.824899
404,178581,1329,179910,0.869165
405,165733,1300,167033,0.877818
406,199371,1263,200634,0.855397
407,204423,1336,205759,0.852094
408,183267,1048,184315,0.866037
409,170101,1315,171416,0.874864
410,137002,1116,138118,0.897575
411,139844,1053,140897,0.895595
412,181497,1320,182817,0.867217
413,280654,1278,281932,0.804232
414,286988,1275,288263,0.800417
415,274559,1377,275936,0.807926
416,275461,1243,276704,0.807378
417,205398,1828,207226,0.851459
418,166623,1320,167943,0.877215
419,161047,1185,162232,0.881002
420,155278,1067,156345,0.884942
421,156828,1045,157873,0.883881
422,128031,1039,129070,0.903861
423,156646,1482,158128,0.884005
424,153546,1116,154662,0.886129
425,268988,1216,270204,0.811322
426,178647,933,179580,0.869121
427,147730,1119,148849,0.890131
428,129578,1311,130889,0.902773
429,196192,1440,197632,0.857484
430,143463,1316,144779,0.893082
431,103418,998,104416,0.921400
432,96076,930,97006,0.926716
433,88613,928,89541,0.932160
434,95145,971,96116,0.927393
435,99118,1008,100126,0.924509
436,104385,996,105381,0.920703
437,89408,982,90390,0.931578
438,87439,922,88361,0.933020
439,96769,993,97762,0.926213
440,93345,940,94285,0.928703
441,87499,914,88413,0.932976
442,95105,978,96083,0.927422
443,89332,898,90230,0.931634
444,97413,962,98375,0.925745
445,111089,976,112065,0.915887
446,141334,1011,142345,0.894559
447,102522,812,103334,0.922047
448,97297,733,98030,0.925829
449,94501,668,95169,0.927861
450,95739,734,96473,0.926961
451,91384,694,92078,0.930134
452,95471,706,96177,0.927156
453,151254,1294,152548,0.887703
454,128851,1062,129913,0.903284
455,152634,1123,153757,0.886755
456,140279,1003,141282,0.895293
457,108462,871,109333,0.917770
458,108246,869,109115,0.917925
459,95274,804,96078,0.927299
460,150384,2889,153273,0.888302
461,142357,1094,143451,0.893849
462,129321,1540,130861,0.902953
463,122758,892,123650,0.907582
464,93700,780,94480,0.928445
465,97439,792,98231,0.925726
466,96945,813,97758,0.926085
467,99979,744,100723,0.923885
468,94995,678,95673,0.927502
469,93762,712,94474,0.928400
470,91390,689,92079,0.930129
471,91976,766,92742,0.929702
472,104262,1159,105421,0.920791
473,103368,865,104233,0.921436
474,95748,745,96493,0.926954
475,125438,1374,126812,0.905688
476,115097,983,116080,0.913024
477,110082,962,111044,0.916609
478,107684,1020,108704,0.918329
479,106816,872,107688,0.918953
480,105937,928,106865,0.919585
481,146962,1097,148059,0.890661
482,130691,1260,131951,0.901991
483,120171,988,121159,0.909415
484,122146,1134,123280,0.908015
485,116713,1011,117724,0.911872
486,117849,916,118765,0.911064
487,116703,987,117690,0.911880
488,118153,994,119147,0.910848
489,116259,948,117207,0.912196
490,115170,902,116072,0.912972
491,114213,922,115135,0.913654
492,116105,968,117073,0.912305
493,114485,930,115415,0.913460
494,114540,1033,115573,0.913421
495,115038,934,115972,0.913066
496,115987,1005,116992,0.912389
497,115400,1023,116423,0.912808
498,171735,1106,172841,0.873762
499,129286,938,130224,0.902978
500,130410,2041,132451,0.902188
501,120479,977,121456,0.909197
502,119321,2149,121470,0.910018
503,118686,1998,120684,0.910469
504,118286,916,119202,0.910754
505,118259,1920,120179,0.910773
506,117856,2022,119878,0.911059
507,118968,977,119945,0.910269
508,117384,917,118301,0.911395
509,118936,1027,119963,0.910292
510,117357,878,118235,0.911414
511,118476,1822,120298,0.910619
512,118430,856,119286,0.910651
513,117549,953,118502,0.911278
