count_idx,delay_ns,loop_gap_ns,recv_block_ns
896,77460,2037,1254
897,76076,3403,1076
898,74719,2048,1148
899,73512,2116,1203
900,72863,2881,1292
901,65393,2291,1152
902,61887,2130,1201
903,59433,2166,1150
904,57970,2118,1713
905,60203,6669,1928
906,59626,3715,1741
907,56984,3309,1274
908,54665,2255,1146
909,52372,2082,1132
910,45853,2098,1203
911,43744,2167,1208
912,41684,2187,1406
913,40227,2363,1112
914,37332,3275,1102
915,34879,2120,1111
916,32310,2078,1191
917,30129,2159,1190
918,27694,2142,1146
919,24588,2115,1126
920,27272,2098,7566
921,24382,8633,1260
922,24159,3330,1159
923,22258,2166,1097
924,20954,2080,1409
925,19790,2396,1199
926,18968,2160,1338
927,13856,2316,1156
928,11734,2117,1378
929,9288,2319,1149
930,10736,2098,4078
931,8265,6253,1275
932,7327,2805,2142
933,6040,3212,2512
934,5448,3513,3871
935,21975,4895,22810
936,10692,25988,2688
937,9433,4943,3733
938,8328,5793,1843
939,8289,4935,1654
940,8260,3030,3084
941,7092,4094,2151
942,5883,3149,2336
943,4312,3308,2306
944,8853,3298,8233
945,7079,9855,1549
946,5802,2512,1920
947,6296,2930,2456
948,8880,5253,7842
949,7957,9664,2165
950,20465,3188,23631
951,11097,26714,4348
952,8819,6863,1971
953,7370,3636,1630
954,6729,2678,2824
955,5588,3897,2475
956,4758,4908,2339
957,10786,3347,9453
958,6967,11086,2034
959,5161,3073,2500
960,8200,3499,7127
961,4366,8865,2606
962,7525,3624,6551
963,6524,8132,2640
964,6007,4012,2212
965,10624,4461,8935
966,7016,10513,1968
967,5181,2988,2580
968,11250,3631,9612
969,8132,11851,2182
970,7536,3709,2993
971,6104,4052,2476
972,4032,3721,2168
973,10713,4428,9035
974,6607,10629,2006
975,5343,3027,2456
976,10230,3499,8646
977,5734,10270,2460
978,4626,3513,2623
979,8256,3649,7089
980,6901,8751,2020
981,5316,3037,2486
982,4262,4631,2272
983,20325,3320,22332
984,20984,25490,23030
985,10001,26249,3530
986,6526,4965,2301
987,26282,3350,32270
988,9060,37587,3834
989,6258,5368,2876
990,5608,6147,2636
991,4253,3741,2424
992,8789,3472,8253
993,29384,9865,33082
994,10515,38182,2986
995,7480,5268,1777
996,7649,3516,2731
997,6150,3808,2274
998,7480,3294,6170
999,37000,48680,3339
1000,33687,6013,1929
1001,31430,3470,1302
1002,28478,2318,1112
1003,24397,2097,1140
1004,21556,2184,1149
1005,19446,2118,2961
1006,7630,3964,2403
1007,6743,3442,5293
1008,10374,7760,8412
1009,21365,9997,25109
1010,21450,28283,23000
1011,21331,26182,23576
1012,20784,26863,22451
1013,21515,25608,23455
1014,52073,26647,50722
1015,40312,60329,7771
1016,51240,19660,5874
1017,53214,9396,3363
1018,53797,5635,2906
1019,54074,5179,3330
1020,44217,5468,2887
1021,42755,4836,3163
1022,43023,5104,2689
1023,43579,4695,2627
1024,90231,4545,49093
1025,93601,54465,4190
1026,93963,7145,2880
1027,95303,5274,2991
1028,95544,5526,2573
1029,94371,4566,2459
1030,92580,4375,2458
1031,90698,4429,2710
1032,96202,4686,2634
1033,89230,13662,4388
1034,85972,6716,2642
1035,123641,4623,40722
1036,124893,44025,4089
1037,125585,6159,2810
1038,126055,4771,2399
1039,126798,4279,2428
1040,132102,4346,6895
1041,140040,15236,4818
1042,140246,7410,2542
1043,141466,4404,2296
1044,141320,4202,2234
1045,141607,4094,2336
1046,142394,4177,2443
1047,148137,4290,7307
1048,147617,9541,2829
1049,152053,4737,2550
1050,154787,9482,3979
1051,155800,6130,2604
1052,187388,4788,31900
1053,213665,37141,24550
1054,204955,29928,2743
1055,200478,4085,1078
1056,180228,2109,1013
1057,172504,2026,984
1058,160956,4769,1161
1059,155823,2193,1031
1060,151575,2024,986
1061,146419,1937,1118
1062,132809,2066,1030
1063,126919,1981,1207
1064,122910,2161,1052
1065,119749,1993,1025
1066,117915,1989,1130
1067,114661,3309,1031
1068,111877,2009,1124
1069,109062,2110,1105
1070,105352,2090,1039
1071,102745,2007,1018
