count_index,ts_swap,werner,success_bit
789,1789567786435378787,0.000000,0
790,1789567786435785442,0.000000,0
791,1789567786436192136,0.000000,0
792,1789567786436599451,0.931000,1
793,1789567786437006045,0.000000,0
794,1789567786437413380,0.000000,0
795,1789567786437820025,0.931000,1
796,1789567786438231759,0.000000,0
797,1789567786438638774,0.931000,1
798,1789567786439045289,0.000000,0
799,1789567786439452353,0.000000,0
800,1789567786439859188,0.000000,0
801,1789567786440266732,0.931000,1
802,1789567786440673387,0.931000,1
803,1789567786441080092,0.000000,0
804,1789567786441487256,0.931000,1
805,1789567786441893851,0.931000,1
806,1789567786442301085,0.931000,1
807,1789567786442708070,0.000000,0
808,1789567786443115155,0.931000,1
809,1789567786443522049,0.931000,1
810,1789567786443928914,0.000000,0
811,1789567786444336028,0.931000,1
812,1789567786444742643,0.000000,0
813,1789567786445149168,0.931000,1
814,1789567786445557772,0.931000,1
815,1789567786445964547,0.931000,1
816,1789567786446371692,0.931000,1
