round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
478,1789997582123059644,0.997610,0.990675,0.988307,1
479,1789997582123256561,0.997420,0.990249,0.987694,1
480,1789997582123445731,0.997242,0.989743,0.000000,0
481,1789997582123643279,0.997677,0.991106,0.000000,0
482,1789997582124022119,0.986833,0.997350,0.000000,0
483,1789997582124253603,0.997374,0.989162,0.986565,1
484,1789997582124495201,0.990180,0.997588,0.987791,1
485,1789997582124701035,0.997430,0.990065,0.987521,1
486,1789997582124916981,0.997472,0.990838,0.988334,1
487,1789997582125119343,0.989883,0.997608,0.987515,1
488,1789997582125323432,0.997512,0.990924,0.000000,0
489,1789997582125526506,0.989657,0.997597,0.987279,1
490,1789997582125702497,0.991195,0.997691,0.000000,0
491,1789997582125895049,0.997462,0.990620,0.988106,1
492,1789997582126096376,0.997219,0.989701,0.000000,0
493,1789997582126302580,0.997532,0.986044,0.000000,0
494,1789997582126498675,0.989978,0.997493,0.987496,1
495,1789997582126696784,0.997491,0.990738,0.000000,0
496,1789997582126886360,0.989534,0.997301,0.000000,0
497,1789997582127088551,0.997443,0.990488,0.987955,1
498,1789997582127289768,0.989257,0.997368,0.986654,1
499,1789997582127487024,0.986109,0.997263,0.983410,1
500,1789997582127652382,0.986416,0.997225,0.000000,0
501,1789997582127816337,0.983737,0.997251,0.000000,0
502,1789997582128002322,0.957531,0.995670,0.953385,1
503,1789997582128143619,0.984932,0.997333,0.982304,1
504,1789997582128332676,0.953444,0.996801,0.950394,1
505,1789997582128494341,0.989963,0.997620,0.987606,1
506,1789997582128678694,0.985710,0.997190,0.000000,0
507,1789997582128827510,0.984054,0.997297,0.981394,1
508,1789997582128998070,0.984643,0.997304,0.981988,1
509,1789997582129199077,0.997525,0.990742,0.000000,0
